Title,Author,Rating,Avg Rating,Date Added,Num Pages
"Defiance of the Fall 4(Defiance of the Fall, #4)",Thefirstdefier,really liked it,4.49,"Dec 28, 2023",811pp
"Defiance of the Fall 3(Defiance of the Fall, #3)",Thefirstdefier,really liked it,4.51,"Dec 28, 2023",868pp
"Defiance of the Fall 2(Defiance of the Fall, #2)",Thefirstdefier,liked it,4.53,"Dec 28, 2023",638pp
"Defiance of the Fall(Defiance of the Fall, #1)",Thefirstdefier,liked it,4.36,"Dec 28, 2023",765pp
The 12 Week Year,"Moran, Brian P.",really liked it,3.86,"Dec 25, 2023",208pp
"Fire and Song(Warformed: Stormweaver, #2)","O'Connor, Bryce",liked it,4.62,"Dec 13, 2023","1,049pp"
"Iron Prince(Warformed: Stormweaver, #1)","O'Connor, Bryce",liked it,4.58,"Dec 12, 2023",850pp
"Waybound(Cradle, #12)","Wight, Will",really liked it,4.63,"Dec 12, 2023",518pp
"Dreadgod(Cradle, #11)","Wight, Will",really liked it,4.63,"Dec 12, 2023",464pp
"Reaper(Cradle, #10)","Wight, Will",really liked it,4.67,"Dec 08, 2023",465pp
"Bloodline(Cradle, #9)","Wight, Will",really liked it,4.51,"Dec 08, 2023",378pp
"Wintersteel(Cradle, #8)","Wight, Will",really liked it,4.69,"Dec 06, 2023",540pp
"Uncrowned(Cradle, #7)","Wight, Will",really liked it,4.57,"Dec 06, 2023",336pp
"Underlord(Cradle, #6)","Wight, Will",really liked it,4.61,"Dec 06, 2023",400pp
"Ghostwater(Cradle, #5)","Wight, Will",really liked it,4.56,"Dec 06, 2023",310pp
"Skysworn(Cradle, #4)","Wight, Will",really liked it,4.38,"Dec 06, 2023",292pp
"Blackflame(Cradle, #3)","Wight, Will",really liked it,4.51,"Dec 06, 2023",370pp
"Soulsmith(Cradle, #2)","Wight, Will",really liked it,4.33,"Dec 04, 2023",284pp
"Unsouled(Cradle, #1)","Wight, Will",really liked it,4.15,"Dec 04, 2023",294pp
How To Get Rich,"Dennis, Felix",liked it,4.17,"Nov 06, 2023",277pp
"Triptych(Will Trent, #1)","Slaughter, Karin",liked it,4.13,"Nov 04, 2023",393pp
"Hench(Hench, #1)","Walschots, Natalie Zina",really liked it,4.01,"Oct 29, 2023",403pp
All the Birds in the Sky,"Anders, Charlie Jane",liked it,3.59,"Oct 29, 2023",316pp
The Maleficent Seven,"Johnston, Cameron",liked it,3.96,"Aug 17, 2023",416pp
"Kings of the Wyld(The Band, #1)","Eames, Nicholas",,4.27,"Aug 17, 2023",502pp
The Martyr(Covenant of Steel #2),"Ryan, Anthony",,4.38,"Aug 17, 2023",528pp
"The Shadow of the Gods(The Bloodsworn Saga, #1)","Gwynne, John",,4.21,"Aug 17, 2023",480pp
"The Justice of Kings(Empire of the Wolf, #1)","Swan, Richard",,4.01,"Aug 17, 2023",496pp
"The Pariah(Covenant of Steel, #1)","Ryan, Anthony",,4.18,"Aug 17, 2023",600pp
One Exit - Verloren im Untergrund,darkviktory,,4.09,"Aug 17, 2023",400pp
"Schattengold: Ach, wie gut, dass niemand weiß...","Handel, Christian",,3.84,"Aug 17, 2023",400pp
"Wendy, Darling(Wendy, Darling, #1)","Wise, A.C.",it was ok,3.58,"Aug 17, 2023",333pp
Cursed,"O'Regan, Marie",,3.53,"Aug 17, 2023",373pp
Frau Holles Labyrinth,"Lasthaus, Stefanie",,3.16,"Aug 17, 2023",400pp
Hooked,"Wise, A.C.",,3.36,"Aug 17, 2023",336pp
The Witch's Heart,"Gornichec, Genevieve",it was ok,4.04,"Jul 21, 2023",359pp
The Invisible Life of Addie LaRue,"Schwab, V.E.",it was amazing,4.17,"Apr 14, 2023",448pp
Machine of Death Artbook,"Malki, David",it was ok,3.38,"Feb 05, 2023",176pp
The Measure,"Erlick, Nikki",liked it,3.97,"Feb 04, 2023",353pp
Self-Made Man: One Woman's Journey Into Manhood and Back Again,"Vincent, Norah",really liked it,3.42,"Jan 25, 2023",290pp
"The Goblin Emperor(The Chronicles of Osreth, #1)","Addison, Katherine",,4.07,"Jan 24, 2023",446pp
"The Witness for the Dead(The Cemeteries of Amalo, #1)","Addison, Katherine",,4.11,"Jan 21, 2023",240pp
"The Vagrant(The Vagrant, #1)","Newman, Peter",,3.66,"Sep 20, 2022",400pp
Girls Save the World in This One,"Parsons, Ash",,3.73,"Sep 20, 2022",432pp
Origami Jewelry,"Jezewski, Mayumi",,3.97,"Sep 03, 2022",64pp
"The Atlas Six(The Atlas, #1)","Blake, Olivie",really liked it,3.56,"Jul 20, 2022",376pp
Lightblade,"Akhtar, Zamil",liked it,3.98,"Jul 14, 2022",516pp
Suicide Notes,"Ford, Michael Thomas",liked it,3.80,"Jul 10, 2022",295pp
"She Who Became the Sun(The Radiant Emperor, #1)","Parker-Chan, Shelley",really liked it,3.84,"Jul 10, 2022",416pp
Norwegian Wood,"Murakami, Haruki",,4.00,"Feb 21, 2022",296pp
"The Maid(Molly the Maid, #1)","Prose, Nita",it was ok,3.75,"Feb 18, 2022",304pp
"Killing Floor(Jack Reacher, #1)","Child, Lee",really liked it,4.08,"Feb 16, 2022",575pp
"Empire of the Vampire(Empire of the Vampire, #1)","Kristoff, Jay",it was ok,4.33,"Jan 13, 2022",739pp
"The Keeper of Night(The Keeper of Night, #1)","Baker, Kylie Lee",it was ok,3.61,"Dec 22, 2021",393pp
The One,"Marrs, John",liked it,4.10,"Dec 20, 2021",418pp
The Power,"Alderman, Naomi",really liked it,3.75,"Oct 30, 2021",341pp
"The Darkness Within Ourselves(The Darkness Series, #1)","Huntley, Jessica",liked it,3.97,"Jul 07, 2021",352pp
"The Immortals(Olympus Bound, #1)","Brodsky, Jordanna Max",it was ok,3.77,"May 29, 2021",447pp
Delenda Est,"Silvere, Lord",liked it,4.04,"Apr 03, 2021","1,570pp"
"Omniscient Reader's Viewpoint, Vol. 3",Singshong,liked it,4.75,"Jan 28, 2021",903pp
"Omniscient Reader's Viewpoint, Vol. 2",Singshong,really liked it,4.70,"Jan 27, 2021",903pp
"Omniscient Reader’s Viewpoint, Vol. 1",Singshong,liked it,4.71,"Jan 27, 2021","2,079pp"
"Crazed Time Traveller(Genius Detective, #20)","Bai, Xin",liked it,3.00,"Jan 13, 2021",unknown
"Bottle Cap Murder(Genius Detective, #19)","Bai, Xin",liked it,3.50,"Jan 12, 2021",unknown
"In The Name of Love(Genius Detective, #18)","Bai, Xin",liked it,3.50,"Jan 12, 2021",unknown
"World's Biggest Lie(Genius Detective, #17)","Bai, Xin",liked it,3.50,"Jan 12, 2021",unknown
"The Palm and Back of Hand are all Flesh(Genius Detective, #16)","Bai, Xin",really liked it,4.00,"Jan 11, 2021",unknown
"Under Human Skin(Genius Detective, #15)","Bai, Xin",liked it,3.50,"Jan 11, 2021",unknown
"Ready Player Two(Ready Player One, #2)","Cline, Ernest",,3.44,"Jan 11, 2021",370pp
"Emergency Landing(Genius Detective, #14)","Bai, Xin",liked it,2.50,"Jan 11, 2021",unknown
"Last Return(Genius Detective, #13)","Bai, Xin",liked it,3.00,"Jan 11, 2021",unknown
"Case of Grandma Liu Murdering Someone(Genius Detective, #12)","Bai, Xin",liked it,3.00,"Jan 11, 2021",unknown
"Rich Family Affairs(Genius Detective, #11)","Bai, Xin",liked it,3.33,"Jan 08, 2021",unknown
"Secret(Genius Detective, #10)","Bai, Xin",liked it,3.33,"Jan 08, 2021",unknown
"Friend, Have you Bought Insurance(Genius Detective, #9)","Bai, Xin",really liked it,4.00,"Jan 08, 2021",unknown
"Peaceful Night Wasn't Peaceful(Genius Detective, #8)","Bai, Xin",really liked it,3.40,"Jan 08, 2021",unknown
"The Father is Actually a...?(Genius Detective, #7)","Bai, Xin",liked it,3.20,"Jan 07, 2021",unknown
"Lucky Man(Genius Detective, #6)","Bai, Xin",liked it,3.40,"Jan 07, 2021",unknown
"Their Relationship(Genius Detective, #5)","Bai, Xin",liked it,3.40,"Jan 07, 2021",unknown
"Another Family's Child(Genius Detective, #4)","Bai, Xin",liked it,3.17,"Jan 07, 2021",unknown
"Headless Female Corpse(Genius Detective, #3)","Bai, Xin",liked it,3.50,"Jan 07, 2021",unknown
"Family Massacre(Genius Detective, #2)","Bai, Xin",liked it,3.10,"Jan 07, 2021",unknown
"The Mysterious Driver(Genius Detective, #1)","Bai, Xin",liked it,3.62,"Jan 07, 2021",unknown
"The Book of Koli(Rampart Trilogy, #1)","Carey, M.R.",really liked it,4.02,"Nov 20, 2020",416pp
Elizabeth,"Hamilton, Jessica",liked it,3.49,"Nov 16, 2020",160pp
"Children of Ruin(Children of Time, #2)","Tchaikovsky, Adrian",,4.05,"Nov 06, 2020",597pp
"Children of Time(Children of Time, #1)","Tchaikovsky, Adrian",,4.30,"Nov 06, 2020",608pp
"King of Scars(King of Scars, #1)","Bardugo, Leigh",,4.15,"Nov 06, 2020",511pp
"Smoke and Stone(City of Sacrifice, #1)","Fletcher, Michael R.",liked it,3.90,"Nov 05, 2020",335pp
"My Sister, the Serial Killer","Braithwaite, Oyinkan",it was ok,3.65,"Nov 04, 2020",226pp
"Sex Criminals, Vol. 1: One Weird Trick","Fraction, Matt",it was ok,3.90,"Nov 02, 2020",128pp
"The Queen's Executioner(Magelands Epic, #1)","Mitchell, Christopher",,4.24,"Nov 02, 2020",460pp
Breath: The New Science of a Lost Art,"Nestor, James",,4.15,"Nov 02, 2020",280pp
Someday I'll Be Redeemed,"Blanchard, Kelly",,4.18,"Nov 02, 2020",468pp
Little Cruelties,"Nugent, Liz",it was amazing,3.76,"Nov 02, 2020",384pp
The Death of Vivek Oji,"Emezi, Akwaeke",liked it,4.12,"Nov 02, 2020",248pp
"I, Lucifer","Duncan, Glen",liked it,3.60,"Sep 01, 2020",272pp
Swordheart,"Kingfisher, T.",it was ok,4.11,"Jul 28, 2020",426pp
The Hollow Places,"Kingfisher, T.",really liked it,3.79,"Jul 28, 2020",341pp
The Ten Thousand Doors of January,"Harrow, Alix E.",really liked it,4.02,"Jun 22, 2020",374pp
"Middlegame(Alchemical Journeys, #1)","McGuire, Seanan",liked it,4.01,"Jun 22, 2020",492pp
Normal People,"Rooney, Sally",did not like it,3.81,"Jun 05, 2020",273pp
Becoming Nigerian: A Guide,"John, Elnathan",liked it,3.96,"Apr 28, 2020",160pp
Six Wakes,"Lafferty, Mur",,3.83,"Apr 28, 2020",361pp
Hits and Misses: Stories,"Rich, Simon",liked it,3.87,"Apr 10, 2020",240pp
Superman: Dawnbreaker,"de la Pena, Matt",liked it,3.52,"Apr 10, 2020",288pp
Guilty Wives,"Patterson, James",liked it,3.90,"Feb 16, 2020",455pp
"The Bird and the Sword(The Bird and the Sword Chronicles, #1)","Harmon, Amy",really liked it,4.17,"Dec 15, 2019",328pp
Hell:  The Possession and Exorcism of Cassie Stevens,"Lewis, Tom",,4.18,"Dec 14, 2019",374pp
The Library at Mount Char,"Hawkins, Scott",really liked it,4.07,"Dec 07, 2019",390pp
"Nyxia Unleashed(The Nyxia Triad, #2)","Reintgen, Scott",liked it,4.20,"Dec 06, 2019",393pp
"Nyxia(The Nyxia Triad, #1)","Reintgen, Scott",liked it,4.14,"Dec 05, 2019",384pp
"Feed(Newsflesh, #1)","Grant, Mira",did not like it,3.85,"Dec 01, 2019",599pp
"The Wicker King(The Wicker King, #1)","Ancrum, K.",really liked it,3.98,"Nov 30, 2019",305pp
The Screwtape Letters,"Lewis, C.S.",liked it,4.27,"Nov 30, 2019",222pp
The Silent Patient,"Michaelides, Alex",really liked it,4.17,"Nov 18, 2019",336pp
Thr3e,"Dekker, Ted",really liked it,4.07,"Nov 11, 2019",423pp
"The Devil's Dream(The Devil's Dream, #1)","Beers, David",did not like it,3.91,"Oct 05, 2019",310pp
"The Kind Worth Killing(Henry Kimball/Lily Kintner, #1)","Swanson, Peter",really liked it,3.98,"Oct 01, 2019",320pp
"The Hypnotist(Joona Linna, #1)","Kepler, Lars",it was ok,3.75,"Sep 30, 2019",503pp
Supergod,"Ellis, Warren",liked it,3.72,"Sep 30, 2019",128pp
The Grand Dark,"Kadrey, Richard",,3.62,"Aug 22, 2019",432pp
Dirty Rotten Hippies and Other Stories,"Smith, Bryan",it was ok,4.03,"Aug 21, 2019",256pp
"The Rage of Dragons(The Burning, #1)","Winter, Evan",liked it,4.31,"Aug 21, 2019",535pp
Feed,"Anderson, M.T.",,3.55,"Aug 21, 2019",237pp
"Happiness, Like Water","Okparanta, Chinelo",really liked it,4.02,"Aug 06, 2019",196pp
"Vicious(Villains, #1)","Schwab, V.E.",really liked it,4.19,"Jul 24, 2019",402pp
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Pratchett, Terry",liked it,4.25,"Jun 19, 2019",491pp
The Bridegroom,"Jin, Ha",it was ok,3.75,"Jun 13, 2019",225pp
I'm Thinking of Ending Things,"Reid, Iain",really liked it,3.53,"Jun 09, 2019",241pp
Fever Dream,"Schweblin, Samanta",,3.72,"Jun 09, 2019",183pp
The Night Tiger,"Choo, Yangsze",liked it,3.86,"Jun 09, 2019",372pp
"Ask Again, Yes","Keane, Mary Beth",really liked it,3.93,"Jun 07, 2019",388pp
"Edgedancer(The Stormlight Archive, #2.5)","Sanderson, Brandon",it was amazing,4.15,"Jun 05, 2019",272pp
"Holes(Holes, #1)","Sachar, Louis",liked it,4.01,"May 25, 2019",272pp
"Empire of Silence(The Sun Eater, #1)","Ruocchio, Christopher",liked it,4.01,"May 24, 2019",753pp
A Bit of Difference,"Atta, Sefi",liked it,3.43,"Apr 10, 2019",222pp
The Ones That Disappeared,"Fraillon, Zana",,3.80,"Apr 07, 2019",320pp
诡秘之主,Ai Qianshui de Wuzei,,4.72,"Apr 07, 2019",unknown
Martial Arts Master Volume 2,Ai Qianshui de Wuzei,,3.81,"Apr 07, 2019",unknown
The Devil's Advocate,"Neiderman, Andrew",really liked it,3.99,"Apr 07, 2019",237pp
Rage,"Bachman, Richard",liked it,3.72,"Apr 05, 2019",131pp
Rebecca,"du Maurier, Daphne",,4.25,"Mar 19, 2019",449pp
The Partner,"Grisham, John",,3.97,"Feb 19, 2019",416pp
Murder Games - Part 1,"Patterson, James",really liked it,3.77,"Jan 20, 2019",80pp
Children of the Nameless,"Sanderson, Brandon",,3.91,"Jan 02, 2019",217pp
Bridge of Clay,"Markus, Zusak",,3.81,"Jan 02, 2019",583pp
The Wicker King,"Ancrum, K.",,3.98,"Jan 02, 2019",336pp
Need to Know,"Cleveland, Karen",,3.82,"Jan 02, 2019",336pp
That Kind of Mother,"Alam, Rumaan",,3.07,"Jan 02, 2019",291pp
Under My Skin,"Unger, Lisa",,3.62,"Jan 02, 2019",304pp
Warlight,"Ondaatje, Michael",,3.60,"Jan 02, 2019",268pp
"The Kingdom of Copper(The Daevabad Trilogy, #2)","Chakraborty, S.A.",,4.39,"Jan 02, 2019",621pp
Friday Black,"Adjei-Brenyah, Nana Kwame",,4.04,"Jan 02, 2019",194pp
Chronicle of a Death Foretold,"García Márquez, Gabriel",,3.97,"Jan 02, 2019",120pp
"Holy Sister(Book of the Ancestor, #3)","Lawrence, Mark",,4.31,"Jan 02, 2019",343pp
"The Novice(Summoner, #1)","Matharu, Taran",,4.12,"Jan 02, 2019",398pp
The Atlantis Complex(Artemis Fowl #7),"Colfer, Eoin",liked it,3.97,"Dec 10, 2018",357pp
"The Time Paradox(Artemis Fowl, #6)","Colfer, Eoin",liked it,4.08,"Dec 10, 2018",391pp
"The Lost Colony(Artemis Fowl, #5)","Colfer, Eoin",really liked it,4.01,"Dec 09, 2018",385pp
"The Eternity Code(Artemis Fowl, #3)","Colfer, Eoin",liked it,4.05,"Dec 07, 2018",329pp
The Arctic Incident(Artemis Fowl #2),"Colfer, Eoin",really liked it,3.96,"Dec 06, 2018",398pp
"Artemis Fowl(Artemis Fowl, #1)","Colfer, Eoin",really liked it,3.86,"Dec 06, 2018",396pp
"You(You, #1)","Kepnes, Caroline",it was ok,3.96,"Dec 04, 2018",424pp
Baby Teeth,"Stage, Zoje",liked it,3.60,"Dec 03, 2018",304pp
Nameless,"Morrison, Grant",,3.51,"Dec 03, 2018",192pp
The Wife Between Us,"Hendricks, Greer",liked it,3.83,"Nov 27, 2018",432pp
"Goblin Slayer, Vol. 5","Kagyu, Kumo",liked it,4.32,"Nov 14, 2018",216pp
"Crazy Rich Asians(Crazy Rich Asians, #1)","Kwan, Kevin",it was amazing,3.91,"Nov 10, 2018",403pp
The Testament of Loki(Loki #2),"Harris, Joanne M.",liked it,3.59,"Nov 09, 2018",295pp
"Goblin Slayer, Vol. 4","Kagyu, Kumo",liked it,4.03,"Nov 07, 2018",216pp
"The Dragon Republic(The Poppy War, #2)","Kuang, R.F.",,4.36,"Oct 26, 2018",658pp
The Scar,"Dyachenko, Marina",,3.91,"Oct 26, 2018",452pp
"The Collapsing Empire(The Interdependency, #1)","Scalzi, John",,4.12,"Oct 26, 2018",336pp
"Goblin Slayer, Vol. 3","Kagyu, Kumo",really liked it,4.18,"Oct 13, 2018",239pp
"Goblin Slayer, Vol. 2","Kagyu, Kumo",really liked it,4.24,"Oct 12, 2018",248pp
"Goblin Slayer, Vol. 1","Kagyu, Kumo",it was amazing,4.11,"Oct 12, 2018",232pp
"29, Single & Nigerian",Naijasinglegirl,liked it,3.95,"Oct 12, 2018",0pp
"Dark Moonlighting(Dark Moonlighting, #1)","Haworth, Scott",,3.49,"Oct 02, 2018",201pp
Hurts Just Like Love,"Thomas, M.",,4.05,"Sep 28, 2018",336pp
"Legion: The Many Lives of Stephen Leeds(Legion, #1-3)","Sanderson, Brandon",it was amazing,4.17,"Sep 20, 2018",352pp
The Ones That Got Away,"Jones, Stephen Graham",did not like it,3.69,"Aug 31, 2018",256pp
Snap,"Bauer, Belinda",,3.81,"Aug 29, 2018",282pp
"It Ends with Us(It Ends with Us, #1)","Hoover, Colleen",,4.11,"Aug 09, 2018",386pp
"The Art of Living Other People's Lives: Stories, Confessions, and Memorable Mistakes","Dybec, Greg",really liked it,3.79,"Aug 08, 2018",240pp
"Lancelot(The Arthurian Tales, #1)","Kristian, Giles",,4.22,"Aug 08, 2018",450pp
The Wife,"Burke, Alafair",really liked it,3.86,"Aug 04, 2018",496pp
Anna Karenina,"Tolstoy, Leo",,4.10,"Aug 02, 2018",964pp
It's Always the Husband,"Campbell, Michele",,3.69,"Aug 02, 2018",336pp
The Song of Achilles,"Miller, Madeline",it was ok,4.31,"Aug 01, 2018",352pp
"Simon vs. the Homo Sapiens Agenda(Simonverse, #1)","Albertalli, Becky",liked it,4.14,"Aug 01, 2018",320pp
Happy Doomsday,"Sosnowski, David",,3.45,"Aug 01, 2018",444pp
The Invisible Man,"Wells, H.G.",liked it,3.63,"Jul 31, 2018",192pp
"The Burning White(Lightbringer, #5)","Weeks, Brent",liked it,4.26,"Jul 29, 2018",960pp
"The Blood Mirror(Lightbringer, #4)","Weeks, Brent",really liked it,4.33,"Jul 27, 2018",704pp
"The Blood of Whisperers(The Vengeance Trilogy, #1)","Madson, Devin",,3.82,"Jul 25, 2018",320pp
The Cabin at the End of the World,"Tremblay, Paul",,3.33,"Jul 22, 2018",272pp
The Outsider,"King, Stephen",,4.01,"Jul 16, 2018",561pp
"Mr. Mercedes(Bill Hodges Trilogy, #1)","King, Stephen",,4.03,"Jul 16, 2018",437pp
"Finders Keepers(Bill Hodges Trilogy, #2)","King, Stephen",,4.07,"Jul 16, 2018",434pp
"End of Watch(Bill Hodges Trilogy, #3)","King, Stephen",,4.11,"Jul 16, 2018",432pp
"Skyward(Skyward, #1)","Sanderson, Brandon",,4.47,"Jul 16, 2018",513pp
"#Nerd(Hashtag, #1)","Hebert, Cambria",,3.98,"Jul 16, 2018",242pp
"The Ex-Boyfriend's Handbook(Ed & Dan, #1)","Dunn, Matt",liked it,3.60,"Jul 15, 2018",354pp
"The Dark Forest(Remembrance of Earth’s Past, #2)","Liu, Cixin",,4.41,"Jul 07, 2018",512pp
We Have Always Lived in the Castle,"Jackson, Shirley",it was ok,3.92,"Jul 06, 2018",152pp
The Thirteenth Tale,"Setterfield, Diane",,3.98,"Jul 06, 2018",406pp
The Lovely Bones,"Sebold, Alice",,3.86,"Jul 06, 2018",372pp
Small Great Things,"Picoult, Jodi",it was ok,4.36,"Jul 04, 2018",480pp
"Everless(Everless, #1)","Holland, Sara",,3.79,"Jul 04, 2018",362pp
"Storm Glass(Harbinger, #1)","Wheeler, Jeff",,4.20,"Jul 04, 2018",367pp
The Couple Next Door,"Lapena, Shari",,3.80,"Jul 04, 2018",308pp
"Out of Spite, Out of Mind(Magic 2.0 #5)","Meyer, Scott",,3.79,"Jul 04, 2018",8pp
"Bone Music(Burning Girl, #1)","Rice, Christopher",,3.88,"Jul 04, 2018",455pp
When We Were Animals,"Gaylord, Joshua",,3.59,"Jul 03, 2018",319pp
A Thousand Perfect Notes,"Drews, C.G.",,4.16,"Jul 03, 2018",282pp
"Arm of the Sphinx(The Books of Babel, #2)","Bancroft, Josiah",really liked it,4.32,"Jun 25, 2018",448pp
"The Grey Bastards(The Lot Lands, #1)","French, Jonathan",,4.06,"Jun 20, 2018",529pp
"John Dies at the End(John Dies at the End, #1)","Wong, David",it was ok,3.87,"Jun 17, 2018",362pp
"Ship of Magic(Liveship Traders, #1)","Hobb, Robin",,4.23,"Jun 10, 2018",880pp
"Senlin Ascends(The Books of Babel, #1)","Bancroft, Josiah",really liked it,4.11,"Jun 10, 2018",448pp
"Irredeemable, Vol. 1","Waid, Mark",,4.05,"Jun 08, 2018",128pp
"The Poppy War(The Poppy War, #1)","Kuang, R.F.",,4.17,"Jun 05, 2018",545pp
The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins",really liked it,4.40,"Jun 05, 2018",389pp
Windmills of the Gods,"Sheldon, Sidney",liked it,3.88,"Jun 04, 2018",419pp
Milk and honey,"Kaur, Rupi",really liked it,3.96,"Jun 03, 2018",204pp
Beasts of Extraordinary Circumstance,"Lang, Ruth Emmie",liked it,4.17,"Jun 01, 2018",346pp
Prey,"Crichton, Michael",liked it,3.79,"May 19, 2018",507pp
The Thing Around Your Neck,"Adichie, Chimamanda Ngozi",liked it,4.23,"May 02, 2018",218pp
"Murder on the Orient Express(Hercule Poirot, #10)","Christie, Agatha",really liked it,4.20,"Apr 29, 2018",274pp
Circe,"Miller, Madeline",liked it,4.22,"Apr 27, 2018",393pp
Let's Talk About Love,"Kann, Claire",it was ok,3.70,"Apr 25, 2018",304pp
"Children of Blood and Bone(Legacy of Orïsha, #1)","Adeyemi, Tomi",liked it,4.11,"Apr 02, 2018",544pp
Other People's Heroes,"Petit, Blake M.",liked it,3.81,"Mar 27, 2018",239pp
The Child Thief,Brom,it was ok,4.08,"Mar 09, 2018",483pp
"The Shadow of What Was Lost(The Licanius Trilogy, #1)","Islington, James",liked it,4.14,"Mar 04, 2018",602pp
"Strange the Dreamer(Strange the Dreamer, #1)","Taylor, Laini",really liked it,4.28,"Mar 04, 2018",532pp
"The Wall of Storms(The Dandelion Dynasty, #2)","Liu, Ken",liked it,4.35,"Mar 02, 2018",880pp
"The Grace of Kings(The Dandelion Dynasty, #1)","Liu, Ken",liked it,3.79,"Feb 28, 2018",640pp
The Immortalists,"Benjamin, Chloe",liked it,3.71,"Feb 27, 2018",346pp
Chameleon in a Candy Store(Oxygen Thief Diaries Book 2),Anonymous,really liked it,3.27,"Feb 09, 2018",209pp
The Chalk Man,"Tudor, C.J.",liked it,3.70,"Feb 02, 2018",280pp
"When Dimple Met Rishi(Dimple and Rishi, #1)","Menon, Sandhya",liked it,3.68,"Feb 01, 2018",380pp
The Bus Driver Who Wanted to be God and Other Stories,"Keret, Etgar",it was ok,3.95,"Jan 31, 2018",130pp
The Kite Runner,"Hosseini, Khaled",liked it,4.35,"Jan 21, 2018",371pp
Modern Romance,"Ansari, Aziz",it was ok,3.80,"Jan 20, 2018",279pp
